Trial,SMBP,SMAP,DH,Notes
1,0.00471,0.00486,0.2,"Omitted, as seeds did not approach a terminal velocity"
2,0.0076,0.00791,0.2,"Omitted, as seeds did not approach a terminal velocity"
3,0.00779,0.00828,0.2,"Omitted, as seeds did not approach a terminal velocity"
4,0.0081,0.00823,0.2,"Omitted, as seeds did not approach a terminal velocity"
5,0.00896,0.00933,0.2,"Omitted, as seeds did not approach a terminal velocity"
6,0.00395,0.00438,0.2,"Omitted, as seeds did not approach a terminal velocity"
7,0.00432,0.00439,0.4,"Omitted, as seeds did not approach a terminal velocity"
8,0.00718,0.00729,0.4,"Omitted, as seeds did not approach a terminal velocity"
9,0.00904,0.00938,0.4,"Omitted, as seeds did not approach a terminal velocity"
10,0.00402,0.00453,0.4,"Omitted, as seeds did not approach a terminal velocity"
11,0.00676,0.00699,0.4,"Omitted, as seeds did not approach a terminal velocity"
12,0.00661,0.00685,0.4,"Omitted, as seeds did not approach a terminal velocity"
13,0.00714,0.00784,0.6,
14,0.0056,0.00601,0.6,
15,0.00537,0.00546,0.6,
16,0.00504,0.00545,0.6,
17,0.00673,0.0069,0.6,
18,0.00543,0.0061,0.6,
19,0.00423,0.00443,0.8,
20,0.00569,0.00586,0.8,
21,0.00774,0.00793,0.8,
22,0.0036,0.0038,0.8,
23,0.00554,0.00567,0.8,
24,0.00642,0.00667,0.8,
25,0.00445,0.00455,1,
26,0.00858,0.00889,1,
27,0.00706,0.00735,1,
28,0.00609,0.00624,1,
29,0.00615,0.00642,1,
30,0.00673,0.00682,1,
31,0.00547,0.00565,1.2,
32,0.00603,0.00673,1.2,
33,0.0058,0.00608,1.2,
34,0.0067,0.00745,1.2,
35,0.00527,0.0054,1.2,
36,0.005,0.00524,1.2,
37,0.00802,0.0083,1.4,
38,0.00708,0.00752,1.4,
39,0.00505,0.0052,1.4,
40,0.00565,0.00578,1.4,
41,0.00511,0.00533,1.4,
42,0.00539,0.00559,1.4,
43,0.00525,0.00542,0.8,
44,0.00796,0.008,0.8,
45,0.00776,0.00794,0.8,
46,0.00549,0.00575,0.8,
47,0.00417,0.0042,0.8,
48,0.01073,0.011,1,
49,0.00586,0.00592,1,
50,0.00542,0.00579,1,
51,0.0075,0.00771,1,
52,0.00679,0.00687,1,
53,0.00522,0.0055,1.2,
54,0.00496,0.00504,1.2,
55,0.00576,0.00619,1.2,
56,0.00732,0.00737,1.2,
57,0.00777,0.00792,1.2,
58,0.00544,0.00558,1.2,
59,0.00551,0.00562,1.4,
60,0.00752,0.00778,1.4,
61,0.00487,0.0049,1.4,
62,0.00817,0.00828,1.4,
